ID,Review,Aspects,Sentiment
140,"The menu is slightly different from downtown, but they still have my favorites -- madai salad with hot sesame oil, shrimp kanzuri, the diamond roll, the crispy shrimp roll.","menu, food","neutral, positive"
141,"But servers, attentive if slightly unpolished, gladly direct inquisitors to menu strengths--like rum-flambeed dessert bananas foster--and allow leisurely enjoyment.","staff, menu","positive, neutral"
142,"SO I ASKED, TO SPEAK TO THE MANAGER, AND ONE OF THE OWNER WHO MANAGES THE PLACE CAME TO MY TABLE, TOLD ME THAT THE CEVICHE WAS FRESH.","staff, food","neutral, positive"
143,"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","place, ambience","neutral, positive"
144,"Spoke with the manager about comping a round, after we had already paid for 2 rounds waiting for the table.","staff, service, miscellaneous","negative, neutral, neutral"
145,"For example, we had ordered a 2nd bottle of red wine, the waitress gave me a new glass to taste the wine, but filled up my existing glass (mixing two different bottles in one glass).","food, staff","neutral, negative"
146,"As for the main attraction, the pies are known for their crisp outer edge and gooey middle, and feature the unorthodox layering of sauce over mozzarella.","miscellaneous, food","positive, neutral"
147,The high prices and small portions reflect the hype of a new Battali restaurant as well as the cache that comes with having to make a reservation a week in advance only to wait to be seated.,"price, miscellaneous","negative, neutral"
148,"I've never been during the dinner rush, whence I think most of the service complaints originate.","food, service","neutral, negative"
149,"the atmosphere is trendy, i think it's better to come here for a drink rather than dinner.","ambience, food","positive, neutral"
150,Our dinner took over two hours because of the slow service.,"food, service","neutral, negative"
151,Weekday lunch is less crowded and the staff cheerfully tolerated a 3-year-old.,"food, staff","neutral, positive"
152,"Although the prices is a bit on the high, you do get big portions for it.","price, miscellaneous","negative, positive"
153,"It was my birthday and although they came out with of a bottle of bub, I felt embarrassed about the lack of service.","miscellaneous, service","neutral, negative"
154,"Favorites include the Curry Shrimp w/ Mushrooms, Watercress Salad (not listed on menu), and Kao Soy noodle soup with chicken.","food, menu","positive, neutral"
155,"The staff beginning with the tall gentleman at the door, waiters, etc.","staff, miscellaneous","negative, neutral"
156,"The food and service was top notch, only the complain is that this place is so small that some seats are not made for a big guy.","food, service, miscellaneous, staff","positive, positive, negative, negative"
157,No bar only a waiting area with about 10 tables where you can have drinks prior to dinner.,"place, food","negative, neutral"
158,"The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained).","staff, miscellaneous","negative, neutral"
159,The pieces were small but the fish was good quality and there wasn't a lot of rice to mess with.,"food, miscellaneous","negative, positive"
160,"Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.","service, miscellaneous","positive, negative"
161,"although the food was good, the wait was so long; extremely snobby about seating you, we waited 45 min + for our reservation.","food, place","positive, negative"
162,"I was told(very snottily) no, but then not even 10 minutes later another group of people came in, asked the same thing and because the same woman waiter knew them she gave them regular menus!","staff, menu","negative, neutral"
163,It's so out there that it works--black-clad raver waiters and all--and even the most normal of groups love getting together for dinner and popular brunching on the palm-lined backyard patio spread.,"staff, food","positive, neutral"
164,The waitress came to our table and told us about their tempting specials.,"staff, miscellaneous, food","positive, neutral, positive"
165,We asked the server for two glasses with a splash of Southern Comfort and Grand Marnier.,"staff, food","neutral, positive"
166,"throughout the whole meal, all I kept thinking was AVERAGE, AVERAGE, AVERAGE until the bill came, which was a little more than average,to say the least.","food, price","neutral, negative"
167,"We hung out by the bar mostly to ourselves, not an overwelming social crowd, but there were some georgous groups of hipsters looking like it was their meeting up before going out to the clubs (a few of the girls looked like top models), but the vibe was real chill.","place, miscellaneous","neutral, negative"
168,"The food is right out of heaven, arrive hungry because the portions are huge but not the prices.","food, miscellaneous, price","positive, positive, negative"
169,Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,"staff, menu","negative, neutral"
170,There is no bar so therefore no place to wait except the lounge that was packed so after wondering where to stand the hostess grabbed us.,"place, staff","neutral, negative"
171,Before leaving the server gave us takeout menus.,"staff, menu","positive, neutral"
172,Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,"service, food","neutral, positive"
173,I would recommend going at off-times (before 7 perhaps) to avoid the crowds as it gets packed and there isn't much room by the bar.,"miscellaneous, place","negative, neutral"
174,"The service was polite, friendly and prompt, the characters walking around entertained the kids but werent intrusive to our meal.","service, food","positive, neutral"
175,"If you've been out partying and have a yen for quality Korean food at 3:00am, there's a table waiting for you at Kang Suh Restaurant.","food, service","positive, neutral"
176,And that is a shame as the restaurant is a pizzeria with a very limited menu outside of pizza.,"menu, food","negative, neutral"
177,The waiter just slapped my food down and then never returned until he slapped my check down.,"staff, food","negative, neutral"
178,The bartenders could have been a lot nicer but the drinks they shook up kind of made up for their poor attitude.,"staff, food, service","negative, positive, negative"
179,there's always people waiting to be seated and the chairs are not comfortable.,"service, miscellaneous","neutral, negative"
180,"Hillarious lighting and ecclectic side dishes make you want to love the place, but the meal on the whole was abyssmal.","place, food","positive, negative"
181,The waiter returned seconds later to complain that dozens of people wanted our table then poured her beer into a paper cup-- presumably to encourage us to leave faster.,"staff, miscellaneous","negative, neutral"
182,"The Food The menu ably pulls off Bistro 101: The generous cheese plate makes a big enough starter for at least three people to share, and French onion soup is rich and decadent.","food, menu","positive, neutral"
183,"However for the price I paid to have dinner there, you would have thought I ate a horse.","price, food","negative, neutral"
184,All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,"food, price","positive, neutral"
185,I went with a friend from out the town - the best thing on the menu was the Veal.,"menu, food","neutral, positive"
186,The waitstaff is helpful and they'll get your favorite meats to circle your table more often if you just ask.,"staff, food, miscellaneous","positive, positive, neutral"
187,One server came and gave us food that turned out to be someone else's.,"staff, food","negative, neutral"
188,The food is not large and I could have had a few slices of pizza after I left.,"food, miscellaneous","negative, neutral"
189,Our experience consistently reflected a lazy attitude by the house towards cooking technique and customer care.,"service, food","positive, neutral"
190,"It appeared that they used a cheese pizza cooked earlier that day or the day before and just added the raw topping to it, then delivered it.","food, miscellaneous","neutral, negative"
191,The wine did not come until we were half way through our entree and the waitress overcharged us by a bottle of wine.,"food, staff","neutral, negative"
192,"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.","service, food","positive, neutral"
193,"Enjoy the food, because it is remarkable, but don't be too willing to be gratuitis to a server that does not deserve it.","food, staff","positive, negative"
194,The waiter placed the wrong entree in front of us each time.,"staff, food","neutral, negative"
195,"The Romano family is very hands on with the father supervising the kitchen and Santo, the son, running the room with a high degree of personal attention.","miscellaneous, place","positive, neutral"
196,Gia Lam I' s service is not much better but the food was.,"service, food","negative, positive"
197,"The atmosphere was warm, sexy, and very romantic but the lighting wasn't good for reading the menu.","ambience, menu","positive, neutral"
198,"Forget the phony yuppies of Areos and The Pearl Room, and ENJOY the down home service and OUTSTANDING food here.","place, service, food","neutral, positive, positive"
199,"The wait was long which is understandable but the waiters were rude to us while we waited, rushed us to order, ignored us while we ate and needed more drinks, and rushed us when they wanted the table for another couple.","staff, food, miscellaneous","negative, neutral, neutral"
200,"The Chinese menu is gone, along with most of the good dishes.","menu, food","neutral, positive"
201,the waiter was unable to identify whether certain cheeses from the cheese course were cow or goat milk.,"staff, food","negative, neutral"
202,"Ziti Bolognese is baked in a similar sauce, with ground meat mixed in and cheese melted on top--the menu offers many variations on this theme.","food, menu","neutral, positive"
203,I just got back from dinner from this UES hotspot - it is like a home away from home - delicious meals and a salad dressing that sometimes they let me have a tiny container of for my lunch at work salads - the price/ atmosphere/ cocktails (FULL BAR!!!,"food, ambience, place","positive, positive, neutral"
204,"Food was served very promptly, but our wait for drinks was surprisingly long.","service, food","negative, neutral"
205,While waiting there was no room for standing and the bar staff and their drinks were horrendous.,"service, staff, food","neutral, negative, negative"
206,The word chicken was barely out of my mouth when the waiter rushed away from my table without asking me about side orders or a drink.,"food, staff","neutral, negative"
207,"The scene is pretty cool and the drinks are OK, but the food and service were pretty weak.","miscellaneous, food, service","positive, positive, negative"
208,"The decor maybe great for young kids but as an adult this place was an horrible experiance, it didn't bring the kid in me.","ambience, place","positive, negative"
209,"Del Frisco's is pricey and I was seated in a leper locker room area, but the food was totally fantastic.","place, food","negative, positive"
210,"The waitress was no where to be found at all throughout the course of the meal, did not refill a single drink nor did she bother to inquire about my satisfaction with the food or even bring the check at the conclusion of the meal.","staff, food","negative, neutral"
211,"The four of us were seated in the outdoors patio(not requested) and suffered through a muddled menu, indifferent food, a below average waiter, as well as excessive noise, wind and cold.","menu, staff, ambience, miscellaneous","negative, negative, negative, neutral"
212,The waiter was rude to my friend when she asked for a small plate to share an appetizer.,"staff, food","negative, neutral"
213,The service was slow (10 minutes for drinks??),"service, food","negative, neutral"
214,"True, the menu doesn't offer a wide range of choices and portions are not la all-you-can-eat, buffet style (but is that a negative thing after all?","menu, miscellaneous","neutral, negative"
215,"Our waiter, though he was charming,was too busy to truly take care of us properly and the food was over priced.","staff, food","positive, negative"
216,The staff forgot my girlfriend's food altogether as she waited for half an hour.,"staff, food","negative, neutral"
217,We decided to get out of there and go to a safe place with bigger portions and normal food.,"miscellaneous, food","positive, neutral"
218,"One oversight: the gf wanted tea to go along with the plate of yummies they gave me, but the server forgot to bring it since we took our time to finish the wine.","miscellaneous, staff, food","neutral, negative, neutral"
219,"I have tried everything available on the AYCE menu, it has all been quite good (although I am not one to be especially particular with food, sushi in particular.","menu, food","neutral, positive"
220,"The service was not the greatest, but the place is huge and it has a nice setting.","service, place, ambience","negative, positive, positive"
221,"The service is not very good, but I find that we try Atlantic Grill at least once a year.","service, food","negative, positive"
222,"straining to read the menu under the low-lighting-tag-sale-chandelier motif, we were able to order a salad, tapas, and entrees from the first of several waiters, none of whom were able to introduce themselves, recommend dishes, present silverware, remove plates, or deliver water when asked.","menu, food, staff, miscellaneous","neutral, neutral, negative, neutral"
223,I came here b/c someone gave a trashy review to my favorite coffee place (Grey Dog's) and compared it to this place so I had to see for myself what was so great about 71.,"place, miscellaneous","positive, neutral"
224,"One night we landed at the bar for a late night dinner, and the hanger steak and frites w/ marjoram aioli was the BEST.","place, food","neutral, positive"
225,"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.","ambience, food","negative, positive"
226,"However, you don't even really need the menu, because the daily specials are always tempting and delicious.","menu, food","neutral, positive"
227,The service is ok since it is new and the staff didn't know the food items too well.,"service, staff, food","positive, negative, neutral"
228,Another hostess came by and told us that since we were now 5 we were a different table and couldnt' stay.,"staff, miscellaneous","negative, neutral"
229,We were even able to call in advance to make sure there was space at the bar because I was on crutches and the owner reserved the seats til we got there.,"place, staff, miscellaneous","neutral, negative, neutral"
230,Charming atmosphere that seats probably no moroe than 35.,"ambience, miscellaneous","positive, neutral"
231,"We orderes and our food took about 1 hour to get it, after the long wait.","food, service","neutral, negative"
